"","PERMNO","TICKER","CUSIP","YEAR","MCAP","RET","rr1","rr2"
"1","10000","OMFGA","68391610","1986","1.981566e+03","-8.821428e-01"," 7.317095e-02"," 9.476000e+03"
"2","10000","OMFGA","68391610","1987","8.515938e+02","-5.757573e-01","-8.035716e-01"," 9.455508e+03"
"3","10001","GFGC","36720410","1986","6.937000e+03"," 2.173691e-01"," 8.695667e-02"," 5.897688e+03"
"4","10001","GFGC","36720410","1987","5.828000e+03","-1.012751e-01"," 2.082197e-01"," 6.299830e+03"
"5","10001","GFGC","36720410","1988","6.362250e+03"," 1.631602e-01"," 1.084189e-01"," 6.182766e+03"
"6","10001","GFGC","36720410","1989","1.034775e+04"," 6.879258e-01"," 2.740998e-01"," 6.240697e+03"
"7","10001","GFGC","36720410","1990","1.001300e+04","-8.721164e-03"," 1.171645e+00"," 6.644745e+03"
"8","10001","GFGC","36720410","1991","1.558750e+04"," 6.074708e-01","-3.533620e-02"," 1.012943e+04"
"9","10001","GFGC","36720410","1992","1.512000e+04"," 1.262124e-02"," 5.924171e-01"," 1.094093e+04"
"10","10001","EWST","36720410","1993","2.004713e+04"," 3.679967e-01"," 6.714269e-01"," 1.196273e+04"
"11","10001","EWST","36720410","1994","1.779200e+04"," 6.616839e-03"," 1.137356e+00"," 1.321874e+04"
"12","10001","EWST","36720410","1995","2.138438e+04"," 2.286283e-01"," 1.106924e+00"," 1.478048e+04"
"13","10001","EWST","36720410","1996","1.915063e+04","-9.044778e-02","-6.666730e-02"," 2.064305e+04"
"14","10001","EWST","36720410","1997","2.155500e+04"," 1.642653e-01","-2.630328e-02"," 2.008194e+04"
"15","10001","EWST","36720410","1998","2.330213e+04"," 1.242454e-01"," 1.343025e-01"," 2.019725e+04"
"16","10001","EWST","36720410","1999","2.082500e+04","-6.622040e-02"," 2.588671e-01"," 2.065442e+04"
"17","10001","EWST","36720410","2000","2.435550e+04"," 2.147249e-01"," 1.961603e-01"," 2.090616e+04"
"18","10001","EWST","36720410","2001","2.938070e+04"," 2.290150e-01"," 1.282081e-02"," 2.440754e+04"
