,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
196307,0,0.18,0.15,-0.88,-1.33
196308,5.73,4.29,5.01,7.19,6.14
196309,-1.57,-0.91,-1.16,-0.79,-2.79
196310,4.77,1.65,0.75,2.65,1.06
196311,-1.3,0.66,-1.21,-1.37,1.09
196312,2.32,2.11,1.91,2.24,2.19
196401,2.75,2.94,1.81,2.49,2.58
196402,1.86,0.67,1.71,4.17,4.23
196403,1.18,1.01,4.14,4.58,1.77
196404,-0.04,1.28,0.88,-1.09,0.64
196405,1.95,0.53,1.21,3.5,3.33
196406,0.98,2.71,0.74,1.65,2.29
196407,2.47,1.04,3.38,2.1,1.73
196408,-1.29,-1.36,0.12,-0.72,-1.97
196409,3.09,1.46,4.28,4.2,5.62
196410,0.42,1.13,0.75,1.07,3.23
196411,1.01,-0.07,0.87,-0.91,-3.19
196412,0.81,1.14,-0.99,-1.32,-1.25
196501,4.88,1.79,3.82,4.35,5.39
196502,0.37,0.42,1.4,0.83,0.97
196503,-1.21,-1.44,-1.14,-0.02,0.93
196504,4.38,2.08,2.98,2.85,4.56
196505,-0.72,0.75,-0.53,-0.51,-2.68
196506,-4.71,-4.25,-6.17,-5.44,-7.16
196507,1.62,0.52,2.3,3.56,5.04
196508,3.45,1.86,4.16,2.38,3.44
196509,3.91,2.6,2.29,3.74,3.5
196510,3.24,0.96,3.36,4.73,6.22
196511,0.04,-0.9,2.03,0.99,1.26
196512,1.12,0.2,1.69,3.02,4.19
196601,-0.12,-0.01,2.55,4.15,5.02
196602,-0.97,-1.82,-0.6,-0.13,0.97
196603,-1.35,-3.1,-1.59,-2.48,-3.77
196604,2.35,2.12,1.92,4.07,2.42
196605,-4.42,-4.38,-5.6,-7.83,-8.08
196606,-1.83,-1.27,-0.2,1.23,-0.38
196607,-1.62,-1.51,-0.82,0.09,-1.56
196608,-7.57,-8.66,-6.22,-7.02,-8.82
196609,-1.31,0.48,0.2,-0.43,-1.35
196610,2.41,4.92,7.9,5.24,3.78
196611,4.29,2.13,-1.66,-0.17,0.18
196612,-0.32,0.75,1.44,0.77,0.36
196701,8.36,7.91,6.33,9.75,14.72
196702,2.42,0.72,-0.45,0,0.08
196703,4.49,3.58,3.68,5.2,5.4
196704,6.79,3.03,0.92,3.76,2.4
196705,-5.16,-3.22,-3.56,-2.82,-2.62
196706,1.94,1.59,2.31,4.39,4.66
196707,4.58,5.59,2.93,6.84,8.26
196708,-0.7,-0.92,-1.19,0.72,1.74
196709,3.95,3.1,3.29,3.36,1.26
196710,-0.77,-4.02,-2.94,-4.16,-5.28
196711,1.54,0.4,0.21,-0.4,-0.31
196712,2.34,3.38,2.96,5.78,4.87
196801,-6.31,-4.66,0.15,-0.65,-0.72
196802,-3.53,-2.67,-2.44,-4,-3.44
196803,2.7,-1.17,-0.53,-0.86,0.77
196804,11.33,8.01,4.71,11.26,12.42
196805,2.95,2.29,0.41,2.77,6.33
196806,-0.17,1.18,3.89,2.58,-0.95
196807,-5.41,-1.77,0.58,0.37,0.26
196808,1.34,1.19,2.02,1.83,3.63
196809,2.97,5.64,3.01,4.85,7.31
196810,-1.48,1.81,2.03,3.11,1.42
196811,6.55,4.3,6.21,5.46,5.49
196812,-4.68,-3.94,-3.03,-2.82,-2.27
196901,-2.18,-0.47,0.44,-0.38,0.94
196902,-4.6,-4.53,-5.26,-5.34,-7.01
196903,4.13,2.12,3.29,1.95,4.26
196904,3.45,1.21,0.78,2.3,1.21
196905,-0.43,0.28,0.99,1.35,-0.23
196906,-3.14,-7.61,-7.89,-7.4,-9.05
196907,-5.25,-6.89,-6.7,-7.67,-6.16
196908,7.41,5.13,4.19,4.12,2.3
196909,-0.32,-2.07,-2.43,-4.92,-4.26
196910,6.87,5.93,5.64,3.42,4.33
196911,-1.97,-3.98,-3.86,-4.64,-2.9
196912,0.23,-2.22,-2.06,-2.25,-5.26
197001,-8.33,-7.19,-7.76,-8.48,-4.14
197002,3.57,4.72,7.99,7.11,7.83
197003,-2.96,-0.41,2.12,0.67,1.51
197004,-12.37,-10.1,-9.69,-7.81,-8.53
197005,-8.74,-6.97,-6.28,-1.97,-4.97
197006,-6.24,-4.46,-4.04,-2.66,-8.16
197007,4.76,8.25,8.7,10.15,7.26
197008,4.26,6.02,4.55,5.08,6.39
197009,8.21,2.94,2.07,1.23,6.28
197010,-0.86,-2.09,-4.05,-0.62,-4.55
197011,4.79,5.46,4.94,6.01,4.52
197012,5,6.97,8.15,5.88,7.76
197101,4.62,5.62,4.86,4.25,8.28
197102,2.67,1.2,0.94,0.93,1.52
197103,6.23,4.12,4.86,1.84,3.12
197104,3.6,4.94,1.34,2.77,6.73
197105,-2.59,-4.13,-4.28,-4.76,-4.07
197106,1.15,-0.44,0.01,0.57,-1.79
197107,-4.17,-4.16,-3.6,-3.85,-5.98
197108,5.53,4.69,-0.34,2.77,10.74
197109,0.53,-0.86,-1.09,-1.25,-2.89
197110,-3.71,-4.96,-3.42,-3.44,-5.24
197111,0.86,-0.1,-0.73,-0.84,-2.41
197112,9.06,9.76,9.17,7.8,11
197201,3.08,1.7,0.41,2.15,8.48
197202,4.75,2.49,1.35,0.83,1.15
