,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
196307,-1.14,-0.34,0.66,0.17,0.62
196308,6.22,5.22,5.11,4.65,6.72
196309,-1.15,-0.97,-2.81,-0.13,-1.16
196310,2.48,0.98,0.55,4,7.83
196311,0.52,-1.13,-1.1,0.9,-3.82
196312,2.05,3.29,2.43,2.12,1.22
196401,3.52,1.53,2.15,4.37,0.15
196402,2.52,2.04,1.83,1.33,1.7
196403,3.91,3.29,1.3,0.9,1.12
196404,-2.21,0.52,0.97,0.27,3.03
196405,1.4,1.39,1.17,1.34,2.96
196406,0.15,2.01,1.52,2.33,1.09
196407,2.8,2.86,2.17,1.19,1.11
196408,-0.76,-0.19,-1.05,-2.21,-0.81
196409,3.38,3.68,2.18,2.87,4.71
196410,0.69,0.89,0.91,0.24,1.15
196411,1.5,-0.36,0.16,1.07,0.52
196412,-0.32,-1.43,1.72,-0.58,1.01
196501,5.2,4.55,1.86,5.33,5.46
196502,0.66,1.67,-0.3,0.61,3.07
196503,-1.03,-0.81,-1.47,-0.21,-2.27
196504,2.52,2.23,3.54,3.41,5.89
196505,0.92,-0.32,-0.48,-0.05,-0.28
196506,-6.23,-5.05,-3.87,-5.11,-6.68
196507,1.69,1.3,2.3,0.66,3.13
196508,3.04,1.81,3.03,2.95,5.25
196509,4.38,3.97,3.14,2.23,3.55
196510,3.58,3.35,2.32,1.59,4.39
196511,1.24,-1.5,0.79,-0.65,3.39
196512,1.01,1.28,0.96,1.38,0.84
196601,3,-0.74,1.14,0.13,2.69
196602,-1.44,-2.83,-1.56,-1.05,3.09
196603,-2.47,-2.21,-2.76,-1.98,-0.75
196604,2.14,0.79,1.93,2.47,5.35
196605,-6.37,-5.54,-5.17,-4.04,-4.97
196606,-0.68,-1.07,-2.14,-0.75,-0.84
196607,-0.59,-0.37,-0.75,-1.56,-3.16
196608,-7.48,-6.57,-7.53,-6.89,-9.97
196609,0.13,0.9,0.66,-1.98,-2.8
196610,4.47,8.14,5.14,1.91,1.79
196611,0.27,-1.38,0.44,2.88,8.61
196612,2.13,0.64,0.38,0.11,-0.71
196701,9.04,5.62,7.3,9.72,10.53
