,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
196307,-0.34,0.38,-0.46,0.18,-0.35
196308,4.89,6.32,5.96,4.92,6.51
196309,-1.67,0.03,-1.07,-0.28,-2.04
196310,2.71,6.07,5.34,2.82,0.99
196311,0.26,-3.27,-1.25,2.67,-1.04
196312,2.71,1.1,3,1.8,1.28
196401,4.22,2.27,2.47,3.02,0.11
196402,2.07,1.4,2.66,0.42,0.99
196403,1.87,1.16,2.79,0.06,0.97
196404,0.43,1.74,-2.2,1.36,0.64
196405,1.09,2.5,2.44,0.51,0.66
196406,0.8,1.87,0.65,3.75,1.23
196407,2.33,4.22,-0.61,2.69,0.61
196408,-1.07,0.24,-2.17,-0.51,-1.56
196409,3.58,3.61,0.84,3.77,4.47
196410,0.79,0.61,-1.05,1.71,0.1
196411,1.45,-0.29,-0.67,0.33,-0.18
196412,0.45,1.08,2.06,-0.56,0.51
196501,4.69,3.08,3.51,5.3,5.68
196502,0.87,-0.07,1.45,0.49,3.14
196503,-2.08,-0.52,-0.72,-0.76,-1.37
196504,2.08,6.06,4.24,3.42,3.41
196505,0.45,-2.01,0.92,-0.7,1.03
196506,-5.03,-5.43,-4.78,-5.23,-6.48
196507,1.63,0.25,3.81,2.08,0.53
196508,3.17,1.72,4.84,2.89,1.99
196509,2.38,4.16,4.33,4.74,1.71
196510,3.14,4,3.13,2.27,0.7
196511,-0.32,-0.59,1.14,1.92,-1.78
196512,1.87,0.33,0.23,2.16,0.31
196601,1.39,-0.55,1.68,1.37,-0.41
196602,-1.87,-2.01,0.88,-0.61,0.28
196603,-2.33,-2.85,-0.34,-1.92,-3.86
196604,1.79,0.81,5.18,2.17,2.24
196605,-4.82,-5.5,-4.79,-5.28,-3.84
196606,-1.72,-2.09,-0.97,-1.85,0.44
196607,-0.11,-2.37,-1.97,-1.97,-1.8
196608,-7.45,-6.75,-7.31,-7.51,-8.29
196609,-1.9,0.13,-2.81,-0.89,-3.41
196610,2.55,4.21,2.72,6.28,0.7
196611,0.6,0.75,6.72,1.3,6.86
196612,0.53,-1.77,0.13,1.84,2.15
196701,9.16,7.47,9.71,7.73,11.07
196702,0.35,0.54,3.51,2.03,1.81
196703,3.87,2.64,5.48,5.28,6.71
196704,5.47,5.62,8.03,1.67,4.82
196705,-5.35,-4.8,-4.52,-4.74,-3.63
196706,-0.39,1.89,3.84,3.69,4.2
196707,6.59,4.32,4.36,1.12,4.94
196708,-0.67,-0.38,-0.66,-0.99,-1.04
196709,4.13,2.75,3.68,4.96,2.25
196710,-3.13,-2.37,-2.86,0.22,-3.56
196711,-0.64,1.39,0.82,1.53,1.19
196712,3.81,3.32,3.62,2.07,4.11
196801,-3.67,-4.24,-6.7,-3.58,-6.11
196802,-2.13,-3.13,-3.93,-3.36,-4.96
196803,0.28,1.38,2.13,1.58,0.81
196804,7.56,9.39,12.48,8.67,10.62
196805,-0.24,3.8,5.4,2.07,3.4
196806,1.14,-0.22,-0.73,1.16,0.85
196807,-1.62,-2.52,-4.17,-2.82,-5.91
196808,1.91,1.19,2.12,1.52,1.43
196809,5.02,3.56,3.86,5.23,4.9
196810,2.4,-0.86,0.46,-1.16,0.68
196811,3.22,6.22,6.11,8.61,7.2
196812,-3.77,-5.17,-3.09,-1.63,-3.27
196901,1,-1.76,-0.68,-2.36,-2.22
196902,-3.85,-3.84,-5.45,-7.15,-8.28
196903,4.4,3.36,3.25,2.04,2.35
196904,1.49,3.74,1.12,2.32,0.78
196905,-0.2,0.49,-0.22,0.67,-0.31
