,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
196307,-0.45,0.94,-0.09,-0.94,0.53
196308,5.11,4.68,4.95,5.68,6.01
196309,-2.35,-1.69,0.41,-1.95,-1.39
196310,1.13,0.5,2.07,2.72,7.1
196311,-1.22,-1.15,1.02,0.64,-2.48
196312,1.25,3.67,1.4,2.76,1.81
196401,2.21,4.13,2.39,1.62,2.91
196402,2.32,2.06,0.83,1.7,2.4
196403,2.64,2.88,0.18,1.74,2.06
196404,3.68,1.63,0.38,-1.29,0.4
196405,1.25,2.39,0.63,0.47,2.78
196406,1.58,0.97,3.97,0.6,0.89
196407,2.14,1.89,0.83,3.23,2.3
196408,-1.16,-1.37,-0.76,-0.99,-1.28
196409,3.93,3.66,1.28,3.38,3.17
196410,2.61,1.85,-0.02,1.72,-0.2
196411,0.23,1.28,-0.83,1.05,0.42
196412,-1.37,-0.85,1.7,0.55,0.92
196501,5.68,0.95,2.31,4.77,5.68
196502,2.32,-1.28,1.04,1.47,0.88
196503,-1.35,-1.85,-0.8,-0.72,-1.22
196504,3.96,2.89,2.6,3.09,4.62
196505,-0.45,0.16,0.68,-1.15,-0.46
196506,-7.51,-3.3,-4.48,-5.28,-5.45
196507,4.61,0.75,1.56,0.74,2.08
196508,1.92,2.23,1.7,2.38,4.95
196509,3.8,1.97,3.85,2.93,4.16
196510,3.56,0.78,1.79,2.71,5.04
196511,1.98,-1.41,-0.11,1.64,0.23
196512,3,1.05,1.37,0.91,0.73
196601,4.37,0.18,-0.53,0.71,1.25
196602,-0.35,-0.45,-3.17,-1.3,-0.23
196603,-3.25,-3.39,-1.88,-1.41,-1.19
196604,2.03,1.4,3.46,2.78,2.13
196605,-7.61,-4.64,-5.29,-4.99,-4.49
196606,-0.49,-0.98,-0.68,-1.34,-1.58
196607,-1.45,-1.16,-0.51,-0.93,-1.6
196608,-9,-6,-7.38,-7.39,-8.19
196609,-1.48,0.52,1.27,-1.95,-1.5
196610,2.77,8.05,6.56,2.39,1.96
196611,2.66,-1.62,-0.85,2.87,4.9
196612,1.32,0.02,1.44,1.62,-0.48
196701,11.42,6.77,7.45,7.74,9.03
196702,0.95,-0.54,-0.1,1.4,2.51
196703,4.7,3.52,4.08,4.28,5.1
196704,3,2.41,2.77,3.97,6.93
196705,-2.15,-4.09,-2.55,-4.46,-5.39
196706,4.68,2.28,1.83,1.13,2.4
196707,7.97,2.38,5.88,6.87,4.24
196708,-0.84,-0.87,-0.7,-0.68,-0.69
196709,4.61,2.91,1.9,2.65,4.8
196710,-3.33,-3.4,-3.47,-3.49,-0.58
196711,-0.53,0.49,1.66,-0.28,1
196712,5.15,2.52,3.65,2.73,2.79
196801,0.34,-1.5,-3.43,-4.79,-6.41
196802,-3.57,-2.68,-2.62,-3.32,-3.45
196803,0.35,-0.82,-0.38,-0.39,2.6
196804,10.66,5.19,8.39,9.93,11.33
196805,4.27,0.53,1.95,1.72,3.12
196806,2.65,1.96,2.14,0.66,-0.35
196807,-2.91,0.44,0.1,-2.86,-4.66
196808,3,2.26,1.19,1,1.45
196809,7.25,4.69,3.84,4.64,2.95
196810,2.07,2.26,1.5,0.94,-1.09
196811,6.34,5.31,5.25,6.64,5.77
196812,-1.46,-4.01,-3.47,-3.96,-4.35
196901,-0.02,0.02,0.43,-1.09,-2.37
196902,-7.72,-5.39,-4.71,-4.97,-4.05
196903,3.62,3.46,3.76,1.84,3.66
196904,2.38,2.22,1.37,1.8,2.73
196905,0.19,0.94,0.29,-0.15,0.26
196906,-10.21,-7.93,-7.26,-5.57,-2.99
196907,-9.11,-6.74,-6.32,-6.27,-5.2
196908,4.29,4.72,5.17,4.32,5.89
196909,-3.83,-4.08,-3.86,-1.02,-0.79
196910,6.44,4.67,4.03,6.67,6.14
196911,-4.67,-3.09,-4.1,-3.62,-2.28
196912,-2.3,-3.34,-1.56,-1.96,-0.4
197001,-6.9,-7.05,-8.05,-7.1,-7.87
197002,7.21,8.54,5.17,4.46,4.44
197003,-1.11,0.64,0,-0.34,-1.01
197004,-10.89,-9.27,-9.68,-10.1,-10.62
197005,-6.37,-4.83,-4.49,-7.15,-7.22
197006,-5.67,-5.95,-4.38,-2.38,-5.96
197007,7.77,8.99,9.72,7.7,4.86
197008,4.87,4.07,4.93,4.81,5.66
197009,6.65,3.79,2.06,3.95,6.05
197010,-2.91,-2.74,-1.42,-1.34,-1
197011,3.48,5.66,5.84,4.4,5.37
197012,7.45,5.19,6.61,6.63,5.73
197101,6.27,5.11,5.08,4.78,4.37
197102,2.29,1.54,-0.15,3.09,2.04
197103,3.89,4.05,2.92,4.72,5.47
197104,5.88,2.89,2.29,3.45,3.92
197105,-4.7,-4.35,-3.68,-2.9,-3.48
197106,-1.37,0.17,1.33,1.18,-0.21
197107,-5.14,-3.8,-3.87,-3.43,-4.88
197108,6.62,4.66,1.85,4.82,5
197109,-2.13,-0.92,-0.67,-0.45,0.49
197110,-6.03,-3.91,-4,-4.05,-3.18
197111,-2.8,-0.22,-0.56,0.01,1.27
197112,10.97,7.82,9.34,8.44,9.79
197201,5.67,1.7,0.79,1.4,4.44
197202,2.53,1.15,3.13,3.56,4.14
197203,-0.39,0.55,-0.95,2.54,1.59
197204,1.54,-0.21,-0.39,1.26,0.78
197205,-1.1,-0.39,2.18,1.3,3.35
197206,-4.39,-2.51,-3.18,-1.52,-0.82
197207,-4.41,-1.52,-1.12,0.62,0.63
197208,5.56,5.17,3.07,5.12,1.61
197209,-3.55,-1.11,0.08,-0.49,-0.59
197210,0.2,1.66,1.92,1.7,-0.18
197211,8.06,6.88,5.76,4.57,3.35
197212,-2.72,-0.62,1.17,1.6,2.14
197301,-4.73,-1.99,-4.06,-1.78,-1.85
197302,-4.32,-6.26,-3.9,-3.91,-3.52
197303,0.5,0.08,-2.32,-0.06,-0.47
197304,-5.86,-3.76,-2.7,-3.99,-5.94
197305,-5.57,-3.51,-1.78,-0.77,-1.68
197306,-1.7,-1.53,-1.75,-0.69,-0.4
197307,8.71,5.2,4.36,7.77,4.31
197308,-0.42,-3.98,-2.69,-3.99,-3.26
197309,8.65,7.27,8.7,6,2.1
197310,1.19,-0.25,-1.18,0.15,-0.19
197311,-10.64,-14.25,-10.34,-13.24,-12.39
197312,4.55,3.82,3.41,0.69,-1
197401,2.2,1.23,1.46,-0.92,-0.7
197402,1.12,0.41,2.48,-0.84,-0.99
197403,-4.37,-3.7,-3.14,-1.38,-1.12
197404,-7.09,-6.06,-5.16,-2.79,-3.86
197405,-8.87,-7.29,-3.61,-1.86,-1.9
197406,-2.15,-3.28,-1.49,-2.44,-1.55
197407,-4.98,-6.74,-5.98,-7.85,-8.94
197408,-8.51,-9.54,-6.58,-10.76,-8.28
197409,-6.11,-9.24,-7.48,-11.32,-14.56
197410,17.75,12.83,18.07,19.05,16.52
197411,-0.99,-3.13,-3.53,-3.52,-5.51
197412,-3.02,-2.66,-0.44,-3.5,-3.39
197501,16.05,18.55,11.66,13.02,13.89
197502,3.65,3.97,3.04,6.62,9.11
197503,2.67,5.42,2.36,4.52,2.15
197504,3.27,2.54,4.14,4.86,6.17
197505,7.4,5.76,5.79,3.58,6.21
197506,7.44,7.6,5.76,5.92,3.24
197507,-5.44,-6.88,-4.05,-7.24,-6.64
197508,-4.35,-1.63,-2.93,-2.75,-1.44
197509,-3.82,-4.09,-2.46,-5.5,-2.7
197510,5.51,7.37,6.65,7.78,4.09
197511,4.04,4.27,3.31,2.85,2.56
197512,-0.8,-1.91,-0.05,-1.52,-1.28
197601,13.68,13.22,11.83,12.74,12.42
197602,3.22,2.12,1.17,-0.57,-0.39
197603,3.38,3.55,2.45,2.27,2.75
197604,-1.4,-1.96,0.32,-1.5,-1.26
197605,-2.42,-2.44,-1.68,-1.62,0.86
197606,5.89,4.59,3.99,3.7,5.32
197607,0.63,-0.22,-0.11,-1.04,-1.06
197608,0.83,0.35,0.53,-0.44,-0.75
197609,1.56,2.68,2.46,2.19,3.12
197610,-2.12,-1.78,-0.99,-2.14,-2.87
197611,3.24,1.7,0.7,-0.26,0.19
197612,5.88,6.53,6.23,5.49,6.13
197701,-4.01,-2.43,-2.59,-5.77,-3.44
197702,-1.4,-2.47,-0.59,-2.03,-1.72
197703,-0.02,-1.06,-0.55,-2.45,-0.54
197704,2.73,1.46,0.28,0.14,-0.5
197705,-1.34,-1.02,-0.05,-1.37,-1.27
197706,4.97,5.01,3.3,5.05,6.34
197707,-2.82,0.14,-0.81,-1.65,-1.31
197708,-1.36,-2.55,-1.31,0.1,-1.69
197709,-1.73,0.58,1.08,-0.22,0.26
197710,-3.75,-3.81,-4.13,-4.04,-3.66
197711,5.49,4.87,4.58,4.29,3.86
197712,-0.33,0.41,1.24,0.21,1.27
197801,-4.71,-4.76,-4.84,-6.82,-5.7
197802,-1.4,-0.58,0.63,-1.66,-1.42
197803,3.49,3.95,4.05,3.97,2.13
197804,8.25,5.89,6.47,10.86,9.42
197805,3.01,2.2,1.74,2.77,1.78
