,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
196307,0.49,-1.41,-0.6,-0.36,-1.27
196308,4.68,6.47,5.63,6.58,7.67
196309,-0.76,-1.82,-2.07,-2.34,-2.37
196310,3.2,2.29,1.83,2.74,2.74
196311,-0.35,-1.17,-0.28,-0.96,-1.21
196312,2.94,1.29,1.5,1.67,-0.24
196401,3.39,1.72,1.88,2.78,-0.99
196402,1.29,2,1.87,5.25,1.88
196403,1.16,2.45,2.46,2.92,1.69
196404,1.33,-0.44,-0.28,-2.44,-1.27
196405,1.72,1.23,1.16,1.51,3.99
196406,1.6,1.92,1.84,1.56,-0.48
196407,1.99,3.09,1.27,2.29,-0.07
196408,-1.24,-1.05,-0.52,-0.95,-1.91
196409,2.55,2.18,3.85,5.55,6.11
196410,0.66,1.46,1.12,1.92,-1.22
196411,0.49,-0.01,0.77,0.63,-2.93
196412,0.77,-0.22,0.22,-0.51,-0.66
196501,3.08,4.68,4.94,3.95,7.46
196502,-0.53,1.76,2.3,3.23,4.74
196503,-1.18,-0.97,-0.67,-0.8,0.62
196504,3.29,2.56,4.01,5.69,3.18
196505,-0.5,0.18,-0.11,-1.42,-1.4
196506,-4.12,-4.79,-6.53,-8.4,-11.17
196507,1.54,1.09,1.77,2.9,5.64
196508,2.14,3.18,4.69,6.04,7.39
196509,2.94,2.83,4.02,4.12,4.34
196510,1.57,2.81,5.33,5.78,7.52
196511,-1.43,0.02,3.16,4.8,6.69
196512,0.13,2.14,2.56,4.61,3.74
196601,-0.78,1.62,3.66,6.22,5.56
196602,-2.17,-2.12,1.71,2.52,5.56
196603,-2.88,-1.11,-1.19,-0.89,-2.21
196604,1.74,1.22,4.62,4.25,5.09
196605,-4.14,-3.76,-6.42,-8.22,-11.86
196606,-2.03,-0.16,-0.71,-0.39,2.37
196607,-0.51,-2.04,-2.09,-1.71,-2.35
196608,-6.28,-8.75,-8.12,-8.86,-10.21
196609,-0.2,0.67,-0.47,-2.72,-4.6
196610,5.78,5.26,5.52,2.33,-6.54
196611,-0.89,1.33,2.59,5.97,13.91
196612,-0.12,0.64,1.62,1.03,1.51
196701,6.92,7.4,10.07,11.62,18.56
196702,0.67,0.66,1.81,1.82,4.4
196703,3.82,4.58,4.85,6.85,4.96
196704,3.98,3.41,5.79,4.97,5.16
196705,-4.4,-3.83,-3.97,-2.58,-2.26
196706,1.47,1.4,3.78,6.34,10.68
196707,3.59,5.37,5.69,7.75,8.25
196708,-0.74,-0.34,0.14,-0.87,-1.62
196709,3.45,2.74,3.33,3.26,5.32
