"","Year","Month","Bond_lag_MV","Bond_Ew_Ret","Bond_Vw_Ret"
"1",1926,1,809,0.0108307693,0.0133947648241038
"2",1926,2,809,0.00502995875,0.0061540892487021
"3",1926,3,809,0.00212310445,0.00388121880494438
"4",1926,4,809,0.00639076665,0.00744084442113721
"5",1926,5,809,0.0018979512,0.0014718106499382
"6",1926,6,809,0.00330769285,0.00374977130815822
"7",1926,7,809,0.0028499029,0.000733504947713226
"8",1926,8,809,0.00327246877065,0.0004093054563
"9",1926,9,809,0.0038075391,0.0037686187684796
"10",1926,10,809,0.00572196615,0.00962336156378245
"11",1926,11,809,0.0093240924,0.0151719568264524
"12",1926,12,809,0.00524307445,0.00749559816749073
"13",1927,1,809,0.00572975805,0.007256338507911
"14",1927,2,809,0.00883567385,0.00878466436736712
"15",1927,3,809,0.01588855425,0.0241614626891224
"16",1927,4,809,0.00229719135,-0.000146708294190358
"17",1927,5,809,0.0073643452,0.0104315360777503
"18",1927,6,809,-0.00283805085,-0.00639326180840544
"19",1927,7,809,0.00566248005,0.00505521090185414
"20",1927,8,809,0.0051294697,0.00729451460494438
"21",1927,9,809,0.005332073,0.00223459222249691
"22",1927,10,809,0.0119374886,0.0101152553611867
"23",1927,11,809,0.0054647811,0.00918125235562423
"24",1927,12,809,0.00610304305,0.00702122114289246
"25",1928,1,809,0.003235597,-0.0027631442039555
"26",1928,2,809,0.0042460691,0.00588826410210136
"27",1928,3,809,0.003524228,0.00441900913671199
"28",1928,4,809,-0.0014506685,-0.000494431260815822
"29",1928,5,809,-0.006337511,-0.0075439047354759
"30",1928,6,809,-0.0029728787,0.00325606078170581
"31",1928,7,809,-0.0338191885,-0.0232343062113721
"32",1928,8,809,0.0051750052,0.00734129484252163
"33",1928,9,809,-0.0114234225,-0.00497051508899876
"34",1928,10,809,0.02576798655,0.0169983614747837
"35",1928,11,809,0.0094131265,0.00145778218442522
"36",1928,12,809,0.0015613078,0.000578038555500618
"37",1929,1,809,-0.005760324,-0.00859666579233622
"38",1929,2,809,-0.0066251181,-0.0145723910333745
"39",1929,3,809,-0.008607533,-0.0136653339245983
"40",1929,4,809,0.0151746328,0.0259844352163164
"41",1929,5,809,-0.009389805,-0.0153374578899876
"42",1929,6,809,0.0067462045,0.0104716229149567
"43",1929,7,809,-0.003937756,-0.000514323646477132
"44",1929,8,809,-0.00039850255,-0.00304036226823239
"45",1929,9,809,-0.00793136785,0.00143009563250927
"46",1929,10,809,0.02871764265,0.037023222405068
"47",1929,11,809,-0.0057988862,0.0200062912810878
"48",1929,12,809,0.0054739754,-0.00714539413226205
"49",1930,1,809,0.00684115445,-0.00414389300370828
"50",1930,2,809,0.0104082859,0.0125826741804697
"51",1930,3,809,0.013564208,0.00897603000828183
"52",1930,4,809,0.0031508899,-0.00101149389122373
"53",1930,5,809,0.01874712785,0.0145432960852905
"54",1930,6,809,-0.0064021309,0.00366361580444994
"55",1930,7,809,0.0188886354,0.0053521171394314
"56",1930,8,809,0.00696339255,0.00200787118541409
"57",1930,9,809,0.00910192155,0.00757548315500618
"58",1930,10,809,0.0039980872,0.00360212060321384
"59",1930,11,809,0.00331003685,0.00411613711681088
"60",1930,12,809,-0.0021786881,-0.00641806543510507
"61",1931,1,809,-0.0022727324,-0.0109271523807169
"62",1931,2,809,0.00480363435,0.0080688730723115
"63",1931,3,809,0.00585272595,0.009867978876267
"64",1931,4,809,0.0073814208,0.00842032218084054
"65",1931,5,809,0.01277850825,0.0142966064737948
"66",1931,6,809,0.0039300712,0.000819269986402967
"67",1931,7,809,0.00158230295,-0.0035151344487021
"68",1931,8,809,0.001853528,0.00131694120024722
"69",1931,9,809,-0.0128362086,-0.0261940493955501
"70",1931,10,1564,-0.0372481943333333,-0.0397227615019182
"71",1931,11,1564,0.00207100093333333,-0.000396372746355499
"72",1931,12,1564,-0.0353747866666667,-0.041142612084399
"73",1932,1,1564,-0.0110223746333333,-0.00550032150735294
"74",1932,2,1564,0.0230051202,0.0345995545037084
"75",1932,3,1564,0.0101184426666667,0.00149434297276215
"76",1932,4,1564,0.0421960504666667,0.0459957314482097
"77",1932,5,1564,-0.0192700196666667,-0.0223235116393862
"78",1932,6,1564,0.0118110664333333,0.013743174923977
"79",1932,7,1564,0.0277720672,0.0345665844429028
"80",1932,8,1564,0.00856579146666667,0.00558521188836317
"81",1932,9,1564,0.00989982916666667,0.00880020985038363
"82",1932,10,1564,-0.00264823773333333,-0.00499239918734015
"83",1932,11,1564,0.00482011493333333,0.00702154203925831
"84",1932,12,1564,0.0135792980666667,0.0163578996572251
"85",1933,1,1564,0.0129619266,0.0143406849866368
"86",1933,2,1564,-0.0227991867,-0.034156210923913
"87",1933,3,1564,0.0105803685,0.0153662420159847
"88",1933,4,1564,-0.000317563033333333,-0.00150231692519182
"89",1933,5,1564,0.0198979450333333,0.0260789149940537
"90",1933,6,1564,0.00815699606666667,0.00749056077097187
