KYTREASNOX,CALDT,TDYTM
2000005,01/02/1973,6.2046996932
2000005,01/03/1973,6.1767120626
2000005,01/04/1973,6.1487373653
2000005,01/05/1973,6.1909030427
2000005,01/08/1973,6.2193047886
2000005,01/09/1973,6.205310993
2000005,01/10/1973,6.2194977934
2000005,01/11/1973,6.2195954348
2000005,01/12/1973,6.2338131031
2000005,01/15/1973,6.2058641743
2000005,01/16/1973,6.2130258422
2000005,01/17/1973,6.1919215425
2000005,01/18/1973,6.2061509635
2000005,01/19/1973,6.2487450064
2000005,01/22/1973,6.2633059887
2000005,01/23/1973,6.2208268402
2000005,01/24/1973,6.2564502388
2000005,01/25/1973,6.2779240753
2000005,01/26/1973,6.3065725655
2000005,01/29/1973,6.2927449116
2000005,01/30/1973,6.2857506448
2000005,01/31/1973,6.2930380141
2000005,02/01/1973,6.4078743164
2000005,02/02/1973,6.4368618772
2000005,02/05/1973,6.4375181632
2000005,02/06/1973,6.4377387988
2000005,02/07/1973,6.4235288747
2000005,02/08/1973,6.4165290083
2000005,02/09/1973,6.3662789297
2000005,02/13/1973,6.3959202642
2000005,02/14/1973,6.4105877265
2000005,02/15/1973,6.3963358293
2000005,02/16/1973,6.410826698
2000005,02/20/1973,6.5199973085
2000005,02/21/1973,6.5127822712
2000005,02/22/1973,6.4982735445
2000005,02/23/1973,6.461911438
2000005,02/26/1973,6.5790324001
2000005,02/27/1973,6.5718087652
2000005,02/28/1973,6.5865887753
2000005,03/01/1973,6.5720219301
2000005,03/02/1973,6.630940044
2000005,03/05/1973,6.6608566974
2000005,03/06/1973,6.6979669274
2000005,03/07/1973,6.6611614691
2000005,03/08/1973,6.6909039659
2000005,03/09/1973,6.7058889079
2000005,03/12/1973,6.7138424812
2000005,03/13/1973,6.6769211868
2000005,03/14/1973,6.6845063384
2000005,03/15/1973,6.7143924702
2000005,03/16/1973,6.781620315
2000005,03/19/1973,6.707692618
2000005,03/20/1973,6.7004307552
2000005,03/21/1973,6.6931654931
2000005,03/22/1973,6.6933460914
2000005,03/23/1973,6.6935276455
2000005,03/26/1973,6.6195620244
2000005,03/27/1973,6.5899642001
2000005,03/28/1973,6.5307002393
2000005,03/29/1973,6.5233933929
2000005,03/30/1973,6.6574649841
2000005,04/02/1973,6.6505079029
2000005,04/03/1973,6.6058626288
2000005,04/04/1973,6.5314903627
2000005,04/05/1973,6.5241649799
2000005,04/06/1973,6.4277230121
2000005,04/09/1973,6.3982662306
2000005,04/10/1973,6.4280025112
2000005,04/11/1973,6.4801360127
2000005,04/12/1973,6.4876846785
2000005,04/13/1973,6.3836530187
2000005,04/16/1973,6.4135585015
2000005,04/17/1973,6.5031484615
2000005,04/18/1973,6.5182249187
2000005,04/19/1973,6.5558171185
2000005,04/23/1973,6.6090525826
2000005,04/24/1973,6.5790953237
2000005,04/25/1973,6.579251047
2000005,04/26/1973,6.5342519793
2000005,04/27/1973,6.5569648357
2000005,04/30/1973,6.5800436118
2000005,05/01/1973,6.6104337665
2000005,05/02/1973,6.6106107112
2000005,05/03/1973,6.6183596991
2000005,05/04/1973,6.6412822468
2000005,05/07/1973,6.649465366
2000005,05/08/1973,6.6192821745
2000005,05/09/1973,6.5966975841
2000005,05/10/1973,6.581699124
2000005,05/11/1973,6.6274507039
2000005,05/14/1973,6.6356531061
2000005,05/15/1973,6.6129989845
2000005,05/16/1973,6.5903469661
2000005,05/17/1973,6.6515232997
2000005,05/18/1973,6.6746628999
2000005,05/21/1973,6.6906584498
2000005,05/22/1973,6.6908928222
2000005,05/23/1973,6.6757916366
2000005,05/24/1973,6.6223990604
2000005,05/25/1973,6.6072980561
2000005,05/29/1973,6.6310967771
2000005,05/30/1973,6.623633725
2000005,05/31/1973,6.6008218338
2000005,06/01/1973,6.6010206455
2000005,06/04/1973,6.6323849035
2000005,06/05/1973,6.5250676325
2000005,06/06/1973,6.4029037402
2000005,06/07/1973,6.4488264148
2000005,06/08/1973,6.4260226103
2000005,06/11/1973,6.4646704333
2000005,06/12/1973,6.4571428967
2000005,06/13/1973,6.4649511375
2000005,06/14/1973,6.465092866
2000005,06/15/1973,6.4806015918
2000005,06/18/1973,6.4964585874
2000005,06/19/1973,6.5043285271
2000005,06/20/1973,6.5044954413
2000005,06/21/1973,6.5123817307
2000005,06/22/1973,6.5512060053
2000005,06/25/1973,6.5828060633
2000005,06/26/1973,6.6063207844
2000005,06/27/1973,6.6298845031
2000005,06/28/1973,6.6690937098
