KYTREASNOX,CALDT,TDYTM
2000003,01/02/1973,5.4306750804
2000003,01/03/1973,5.3771028403
2000003,01/04/1973,5.3767004912
2000003,01/05/1973,5.3869253745
2000003,01/08/1973,5.4069618545
2000003,01/09/1973,5.40655509
2000003,01/10/1973,5.4167704548
2000003,01/11/1973,5.4588536601
2000003,01/12/1973,5.4690626966
2000003,01/15/1973,5.489054885
2000003,01/16/1973,5.5523699577
2000003,01/17/1973,5.5200745628
2000003,01/18/1973,5.5621345568
2000003,01/19/1973,5.5935720096
2000003,01/22/1973,5.624127659
2000003,01/23/1973,5.6130679061
2000003,01/24/1973,5.655107289
2000003,01/25/1973,5.6865253038
2000003,01/26/1973,5.7073185995
2000003,01/29/1973,5.8228060223
2000003,01/30/1973,5.8435874784
2000003,01/31/1973,6.1081060299
2000003,02/01/1973,6.2257285513
2000003,02/02/1973,6.2530161977
2000003,02/05/1973,6.2134120504
2000003,02/06/1973,6.2102998042
2000003,02/07/1973,6.1457108727
2000003,02/08/1973,6.0500430687
2000003,02/09/1973,5.9539579077
2000003,02/13/1973,5.9697234982
2000003,02/14/1973,5.934667052
2000003,02/15/1973,5.8368221042
2000003,02/16/1973,5.8316646642
2000003,02/20/1973,5.9694406782
2000003,02/21/1973,6.0601358398
2000003,02/22/1973,6.0554999133
2000003,02/23/1973,6.1149352454
2000003,02/26/1973,6.2630325263
2000003,02/27/1973,6.2913461692
2000003,02/28/1973,6.287272719
2000003,03/01/1973,6.2831803152
2000003,03/02/1973,6.3117968878
2000003,03/05/1973,6.3326196721
2000003,03/06/1973,6.4942470191
2000003,03/07/1973,6.4906737078
2000003,03/08/1973,6.4870840219
2000003,03/09/1973,6.5838078227
2000003,03/12/1973,6.5737278149
2000003,03/13/1973,6.6041756637
2000003,03/14/1973,6.6348085249
2000003,03/15/1973,6.6996890061
2000003,03/16/1973,6.9702771753
2000003,03/19/1973,6.8598033326
2000003,03/20/1973,6.8225866514
2000003,03/21/1973,6.8198614711
2000003,03/22/1973,6.817124459
2000003,03/23/1973,6.7794842825
2000003,03/26/1973,6.7356730294
2000003,03/27/1973,6.7326688312
2000003,03/28/1973,6.7296507989
2000003,03/29/1973,6.7266187992
2000003,03/30/1973,6.8304132475
2000003,04/02/1973,6.8221475006
2000003,04/03/1973,6.7833151171
2000003,04/04/1973,6.7442640489
2000003,04/05/1973,6.7049921441
2000003,04/06/1973,6.6291623444
2000003,04/09/1973,6.5090173485
2000003,04/10/1973,6.5419902744
2000003,04/11/1973,6.5751819616
2000003,04/12/1973,6.5715964541
2000003,04/13/1973,6.5308908076
2000003,04/16/1973,6.4821767083
2000003,04/17/1973,6.4782606954
2000003,04/18/1973,6.4366585773
2000003,04/19/1973,6.4703653461
2000003,04/23/1973,6.4925987534
2000003,04/24/1973,6.4886547291
2000003,04/25/1973,6.5232330647
2000003,04/26/1973,6.480701197
2000003,04/27/1973,6.515487513
2000003,04/30/1973,6.6000269239
2000003,05/01/1973,6.62930063
2000003,05/02/1973,6.6281606834
2000003,05/03/1973,6.6270181612
2000003,05/04/1973,6.5951451544
2000003,05/07/1973,6.62242185
2000003,05/08/1973,6.5902142159
2000003,05/09/1973,6.5267347817
2000003,05/10/1973,6.525325774
2000003,05/11/1973,6.5551927239
2000003,05/14/1973,6.5511796384
2000003,05/15/1973,6.5182171371
2000003,05/16/1973,6.4847677262
2000003,05/17/1973,6.6100669646
2000003,05/18/1973,6.672344519
2000003,05/21/1973,6.7325990614
2000003,05/22/1973,6.7636712363
2000003,05/23/1973,6.8596902166
2000003,05/24/1973,6.8263531285
2000003,05/25/1973,6.8254037804
2000003,05/29/1973,6.8874307421
2000003,05/30/1973,6.9527115744
2000003,05/31/1973,6.952112922
2000003,06/01/1973,6.9847402323
2000003,06/04/1973,7.0502558211
2000003,06/05/1973,7.0163244959
2000003,06/06/1973,6.9485338075
2000003,06/07/1973,7.049309745
2000003,06/08/1973,7.0489989988
2000003,06/11/1973,7.0822731344
2000003,06/12/1973,7.0820685432
2000003,06/13/1973,7.047480731
2000003,06/14/1973,7.0471843095
2000003,06/15/1973,7.0468903462
2000003,06/18/1973,7.0809050444
2000003,06/19/1973,7.1157155735
2000003,06/20/1973,7.1156373569
2000003,06/21/1973,7.0803656722
2000003,06/22/1973,7.1508037772
2000003,06/25/1973,7.1509286288
2000003,06/26/1973,7.1867201173
2000003,06/27/1973,7.3662845072
2000003,06/28/1973,7.4030082013
2000003,06/29/1973,7.5484573643
2000003,07/02/1973,7.8081229964
2000003,07/03/1973,7.8102000104
2000003,07/05/1973,7.8513378388
2000003,07/06/1973,7.8906370083
2000003,07/09/1973,8.0100981014
2000003,07/10/1973,7.9377976595
2000003,07/11/1973,7.86509946
2000003,07/12/1973,7.9429737185
2000003,07/13/1973,8.097234056
2000003,07/16/1973,8.1832888183
2000003,07/17/1973,8.1867319627
2000003,07/18/1973,8.2673555871
2000003,07/19/1973,8.4260493247
2000003,07/20/1973,8.4692181121
2000003,07/23/1973,8.5219186796
2000003,07/24/1973,8.6054534371
2000003,07/25/1973,8.650001098
2000003,07/26/1973,8.6551393097
2000003,07/27/1973,8.7799166267
2000003,07/30/1973,8.7969023501
2000003,07/31/1973,8.5451168981
2000003,08/01/1973,8.5844369568
2000003,08/02/1973,8.5923926449
2000003,08/03/1973,8.6320613463
2000003,08/06/1973,8.8163390839
2000003,08/07/1973,9.0175737354
2000003,08/08/1973,8.9624422703
2000003,08/09/1973,8.9393199281
2000003,08/10/1973,8.9807820042
2000003,08/13/1973,8.910897544
2000003,08/14/1973,8.7568172591
2000003,08/15/1973,8.7001886604
2000003,08/16/1973,8.4465467562
2000003,08/17/1973,8.2576526138
2000003,08/20/1973,8.4770685668
2000003,08/21/1973,8.484813179
2000003,08/22/1973,8.4593967737
2000003,08/23/1973,8.2011597342
2000003,08/24/1973,8.1084031788
2000003,08/27/1973,8.1961760136
2000003,08/28/1973,8.2706532221
2000003,08/29/1973,8.2780433987
2000003,08/30/1973,8.2516314708
2000003,08/31/1973,8.2929604666
2000003,09/04/1973,8.3233526997
2000003,09/05/1973,8.2278593272
2000003,09/06/1973,8.2353351094
2000003,09/07/1973,8.2082833935
2000003,09/10/1973,8.3354838603
2000003,09/11/1973,8.4134125612
2000003,09/12/1973,8.5269838579
2000003,09/13/1973,8.6413134524
2000003,09/14/1973,8.6148067704
2000003,09/17/1973,8.5344660761
2000003,09/18/1973,8.3288351722
2000003,09/19/1973,8.3369563188
2000003,09/20/1973,8.2374971565
2000003,09/21/1973,8.1375622566
2000003,09/24/1973,7.9795361934
2000003,09/25/1973,7.8779424773
2000003,09/26/1973,7.7758509587
2000003,09/27/1973,7.3823153164
2000003,09/28/1973,7.308993821
2000003,10/01/1973,7.3850321117
2000003,10/02/1973,7.4533348978
2000003,10/03/1973,7.4571141278
2000003,10/04/1973,7.4283825936
2000003,10/05/1973,7.2366153169
2000003,10/09/1973,7.1839396361
2000003,10/10/1973,7.2200698757
2000003,10/11/1973,7.1902692816
2000003,10/12/1973,7.1271882243
2000003,10/15/1973,7.1363630568
2000003,10/16/1973,7.172959733
2000003,10/17/1973,7.1761727142
2000003,10/18/1973,7.1457256359
2000003,10/19/1973,7.1151247033
2000003,10/23/1973,7.1276178142
2000003,10/24/1973,6.9939479588
2000003,10/25/1973,6.9967610659
2000003,10/26/1973,6.9652158386
2000003,10/29/1973,6.9735410915
2000003,10/30/1973,6.9415946002
2000003,10/31/1973,6.9526011067
2000003,11/01/1973,7.0801255167
2000003,11/02/1973,7.1462749771
2000003,11/05/1973,7.3470705708
2000003,11/07/1973,7.4829236128
2000003,11/08/1973,7.4247129185
2000003,11/09/1973,7.5250125802
2000003,11/12/1973,7.6692037015
2000003,11/13/1973,7.8036729908
2000003,11/14/1973,7.8097876888
2000003,11/15/1973,7.6218507306
2000003,11/16/1973,7.5294632387
2000003,11/19/1973,7.3476035292
2000003,11/20/1973,7.2864313454
2000003,11/21/1973,7.2576811478
2000003,11/23/1973,7.2326288013
2000003,11/26/1973,7.0456444573
2000003,11/27/1973,7.0822127401
2000003,11/28/1973,7.0857229004
2000003,11/29/1973,7.1226185861
2000003,11/30/1973,7.0928124982
2000003,12/03/1973,7.1373543828
2000003,12/04/1973,7.1749348756
2000003,12/05/1973,7.2806527508
2000003,12/06/1973,7.3529728726
2000003,12/07/1973,7.3231907526
2000003,12/10/1973,7.129699598
2000003,12/11/1973,7.1335253428
2000003,12/12/1973,6.9991127574
2000003,12/13/1973,7.0372439889
2000003,12/14/1973,6.9366412702
2000003,12/17/1973,6.8067115889
2000003,12/18/1973,6.8447904919
2000003,12/19/1973,6.8831059191
2000003,12/20/1973,6.8510503798
2000003,12/21/1973,6.9250300663
2000003,12/24/1973,6.9352835581
2000003,12/26/1973,7.1581237959
2000003,12/27/1973,7.162284485
2000003,12/28/1973,7.1302496254
2000003,12/31/1973,7.1315953697
2000003,01/02/1974,7.1702190823
2000003,01/03/1974,7.1087237931
2000003,01/04/1974,7.0793933355
2000003,01/07/1974,7.1213468508
2000003,01/08/1974,7.15736797
2000003,01/09/1974,7.1606848627
2000003,01/10/1974,7.2300357472
2000003,01/11/1974,7.2335748446
2000003,01/14/1974,7.3111068372
2000003,01/15/1974,7.3149226366
2000003,01/16/1974,7.2851875076
2000003,01/17/1974,7.1207797005
2000003,01/18/1974,7.292759882
2000003,01/21/1974,7.338351639
2000003,01/22/1974,7.3423476075
2000003,01/23/1974,7.3806158836
2000003,01/24/1974,7.3160886408
2000003,01/25/1974,7.354496393
2000003,01/28/1974,7.2974578886
2000003,01/29/1974,7.2666474404
2000003,01/30/1974,7.1310772751
2000003,01/31/1974,6.7968042803
2000003,02/01/1974,6.5838746306
2000003,02/04/1974,6.4669887329
2000003,02/05/1974,6.4690998989
2000003,02/06/1974,6.4712253381
2000003,02/07/1974,6.6297465181
2000003,02/08/1974,6.6009362125
2000003,02/11/1974,6.6084932292
2000003,02/13/1974,6.5500442872
2000003,02/14/1974,6.4887572568
2000003,02/15/1974,6.522949048
2000003,02/19/1974,6.5615077354
2000003,02/20/1974,6.563191969
2000003,02/21/1974,6.5648884802
2000003,02/22/1974,6.6642768541
2000003,02/25/1974,6.6702685453
2000003,02/26/1974,6.8370621652
2000003,02/27/1974,6.8395492111
2000003,02/28/1974,6.8752178146
2000003,03/01/1974,6.977657884
2000003,03/04/1974,7.0199991476
2000003,03/05/1974,7.0567304716
